,name,best,last,optim,lr,gamma
29,20230401-212942,84.59,83.81,Adam,0.01,0.8
28,20230401-231542,86.32,86.12,Adam,0.005,0.8
27,20230402-010232,92.43,92.31,Adam,0.001,0.8
26,20230402-024837,94.04,93.81,Adam,0.0005,0.8
25,20230402-043450,93.75,93.61,Adam,0.0001,0.8
24,20230402-062304,92.34,92.2,pbAdam,0.01,0.2
19,20230402-155208,92.72,92.62,pbAdam,0.01,0.5
14,20230403-011602,88.06,87.76,pbAdam,0.01,0.8
9,20230403-104256, 63.42,63.06,pbAdam,0.01,1.5
4,20230403-200918, 10.0 ,10.0,pbAdam,0.01,2.5
23,20230402-081558,91.53,91.26,pbAdam,0.005,0.2
18,20230402-174442,93.22,93.08,pbAdam,0.005,0.5
13,20230403-030849,90.0 ,89.83,pbAdam,0.005,0.8
8,20230403-123617, 68.38,68.04,pbAdam,0.005,1.5
3,20230403-220117, 10.0 ,10.0,pbAdam,0.005,2.5
22,20230402-100947,93.1 ,92.94,pbAdam,0.001,0.2
17,20230402-193730,93.64,93.51,pbAdam,0.001,0.5
12,20230403-050101,93.43,93.31,pbAdam,0.001,0.8
7,20230403-142821, 85.23,84.97,pbAdam,0.001,1.5
2,20230403-235318, 10.0 ,10.0,pbAdam,0.001,2.5
21,20230402-120435,93.82,93.68,pbAdam,0.0005,0.2
16,20230402-213046,93.73,93.64,pbAdam,0.0005,0.5
11,20230403-065433,94.32,94.14,pbAdam,0.0005,0.8
6,20230403-162044, 90.58,90.38,pbAdam,0.0005,1.5
1,20230404-014450, 10.0 ,10.0,pbAdam,0.0005,2.5
20,20230402-135825,92.81,92.66,pbAdam,0.0001,0.2
15,20230402-232304,92.89,92.77,pbAdam,0.0001,0.5
10,20230403-084755,93.66,93.51,pbAdam,0.0001,0.8
5,20230403-181603, 92.97,92.89,pbAdam,0.0001,1.5
0,20230404-033715, 10.0 ,10.0,pbAdam,0.0001,2.5
